	human	mouse	zebrafish	drosophila	c.elegans	ciliate	yeast	methanocaldococcus	themococcus	e.coli	tuberculosis
H2A	4.94E-91	4.57E-84	1.06E-81	2.34E-69	6.53E-67	2.45E-57	8.88E-63	0.001	0.15	1.2	0.4
H2B	2.85E-87	1.15E-83	1.85E-71	3.30E-59	5.28E-65	1.91E-49	3.07E-57	2.6	0.17	1.8	2.2
H3	2.19E-96	1.54E-96	1.77E-95	9.39E-96	4.46E-94	8.41E-86	3.31E-87	0.034	0.057	0.9	4.6
H4	1.09E-67	7.60E-68	1.13E-68	8.02E-68	6.15E-68	1.96E-45	1.08E-52	8.22E-05	3.31E-05	1.3	0.069
P300	1.00E-300	1.00E-300	1.00E-300	1.00E-300	1.00E-300	1.58E-15	1.24E-13	0.02	1.2	0.37	0.003
